"File","Line","Column","ErrorCode","Message"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AnimationStateInspector.cs","73","61","CS1061","'AnimationController' does not contain a definition for 'GetCurrentState' and no accessible extension method 'GetCurrentState' accepting a first argument of type 'AnimationController' could be found (are you missing a using directive or an assembly reference?) [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AnimationStateInspector.cs","74","62","CS1501","No overload for method 'GetPreviousState' takes 1 arguments [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AnimationStateInspector.cs","75","67","CS1501","No overload for method 'GetTransitionProgress' takes 1 arguments [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AnimationStateInspector.cs","76","62","CS1501","No overload for method 'GetAnimationTime' takes 1 arguments [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AnimationStateInspector.cs","77","59","CS1501","No overload for method 'GetAnimationParameters' takes 1 arguments [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AnimationStateInspector.cs","78","61","CS1501","No overload for method 'GetBlendWeights' takes 1 arguments [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AnimationStateInspector.cs","84","55","CS1061","'string' does not contain a definition for 'Name' and no accessible extension method 'Name' accepting a first argument of type 'string' could be found (are you missing a using directive or an assembly reference?) [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\AnimationStateInspector.cs","104","21","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","322","17","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationComponents\IdleState.cs","38","13","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
"E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","329","13","CS0103","The name 'ModernLoggingSystem' does not exist in the current context [E:\BDC\Projects\SASZombieAssaultTD\SASZombieAssaultTD.csproj]"
