"FileName","FullPath","IncludedInCsproj","DuplicateName","BackupPattern","SuspiciousFolder"
"GameStateManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\GameStateManager.cs","False","False","False","False"
"InputRouter.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\InputRouter.cs","False","False","False","False"
"LoggingSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\LoggingSystem.cs","False","False","False","False"
"ParticleSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\ParticleSystem.cs","False","False","False","False"
"PathfindingSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\PathfindingSystem.cs","False","True","False","False"
"PhysicsSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\PhysicsSystem.cs","False","False","False","False"
"RenderingSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\RenderingSystem.cs","False","False","False","False"
"RenderQueue.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\RenderQueue.cs","False","True","False","False"
"TriggerSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\TriggerSystem.cs","False","False","False","False"
"UISystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\UISystem.cs","False","True","False","False"
"WaveAnalyticsSummary.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\WaveAnalyticsSummary.cs","False","False","False","False"
"WaveSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\WaveSystem.cs","False","False","False","False"
"AchievementDefinition.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Achievements\AchievementDefinition.cs","False","False","False","False"
"AchievementInstance.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Achievements\AchievementInstance.cs","False","False","False","False"
